Rndrng_Prvdr_State_Abrvtn,providers,tot_benes,tot_srvcs,total_paid,total_allowed,total_submitted,w_mean_paid_per_service,w_mean_submitted_per_service,w_reimb_ratio
AA,15,15835,23914,624739.3,831473.13,5220211.62,26.1244,218.291,0.1197
AE,62,103117,865735,12672728.8,13520260.43,24439992.07,14.6381,28.2303,0.5185
AK,2833,1242593,4672576,200990890.5222,260425357.9722,1181048015.9792,43.015,252.7616,0.1702
AL,16645,14342626,47020058,1322386223.3726,1669681117.7742,5395086642.8375,28.1239,114.7401,0.2451
AP,56,20693,40181,1509452.12,1939311.39,7628945.56,37.5663,189.8645,0.1979
AR,10175,8170243,30044265,905310183.271,1163225234.9218,3369056634.6672,30.1325,112.1364,0.2687
AS,1,86,86,5989.2,7770.93,115558.0,69.6419,1343.6977,0.0518
AZ,24018,21367252,73561702,3106083685.7065,3901242718.5729,10605533878.3984,42.2242,144.1719,0.2929
CA,93498,81471758,268124028,11525455734.6056,14353749147.5317,44266088289.0206,42.9855,165.0956,0.2604
CO,20218,11511541,37843500,1364092646.9767,1714521135.0244,5372612745.7553,36.0456,141.9692,0.2539
CT,16663,7462460,20118589,915801949.7758,1173703851.5247,3529260393.7324,45.5202,175.4229,0.2595
DC,3704,1617305,4430230,226339374.9857,290874298.5111,797338112.1991,51.0898,179.9767,0.2839
DE,4560,3363045,11808523,434202987.9855,557935325.3333,1563474280.8756,36.7703,132.4022,0.2777
FL,77006,74329690,286685720,8883415881.6185,11195639950.465,33327507269.0683,30.9866,116.251,0.2665
FM,1,109,497,34067.28,43599.68,97567.0,68.5458,196.3119,0.3492
GA,33154,22084400,69409276,2309148855.3066,2957017314.7808,10265230476.9005,33.2686,147.8942,0.2249
GU,207,113343,534855,16650231.6912,22246438.4548,48388114.988,31.1304,90.4696,0.3441
HI,3989,2471533,5866251,222360661.462,285309724.9756,791800540.6731,37.9051,134.9756,0.2808
IA,11963,7342932,22406980,764785551.1706,983169621.3211,2804788589.2038,34.1316,125.1748,0.2727
ID,6331,5113368,12247703,482904327.9055,575371276.8082,1306952039.448,39.4282,106.71,0.3695
IL,47277,36917045,145639632,4262580510.6088,5249696740.3765,16609666882.3555,29.268,114.0463,0.2566
IN,24665,14010087,40270224,1548234388.2958,1989380955.8262,6091675698.3607,38.4461,151.27,0.2542
KS,11485,10719409,30999442,981834599.3621,1237469383.9834,3887135239.7016,31.6727,125.3937,0.2526
KY,17628,9016563,27697067,988040270.6777,1271444921.6017,3627936010.3225,35.6731,130.9863,0.2723
LA,16140,9157873,30718722,1056455457.2307,1353544747.6109,4366991520.638,34.3913,142.1606,0.2419
MA,35573,23511653,56704994,2411853590.4678,3050872621.166,10309297719.1083,42.5334,181.8058,0.2339
MD,24406,20824677,72945079,2706273168.3919,3457920708.3531,9751372521.1133,37.1001,133.681,0.2775
ME,6424,2160790,6133878,227566689.2772,294084419.6312,785514591.958,37.1,128.0617,0.2897
MI,39654,17986417,51597875,2012781386.1094,2573999935.3666,7042476197.6966,39.009,136.4877,0.2858
MN,26019,10847856,31410952,1013136798.0889,1294442370.3707,5012892657.3049,32.2543,159.5906,0.2021
MO,23117,12792812,39779001,1393366475.4811,1796607032.1783,5676710220.0594,35.0277,142.7062,0.2455
MP,26,6347,15011,853202.7196,1245363.2864,2755949.84,56.8385,183.5954,0.3096
MS,9503,8272396,26519022,952834373.8219,1218445684.5723,3834239630.0186,35.9302,144.5845,0.2485
MT,4617,2240434,5805521,250745737.5224,328167348.9902,871120458.7957,43.1909,150.0504,0.2878
NC,40231,35643279,86899821,2692010853.2223,3389695856.739,10891802830.7472,30.9783,125.3375,0.2472
ND,3826,2003271,5283988,187952207.1718,241845593.9134,758696183.4846,35.5701,143.584,0.2477
NE,8292,5220685,19523011,587393653.3016,756285328.0053,2213180737.646,30.0872,113.3627,0.2654
NH,6938,3393536,7610693,354378872.7803,458124601.3582,1717331612.596,46.5633,225.6472,0.2064
NJ,36541,41878323,117720150,3851850194.1195,4801460977.5102,16889906511.759,32.7204,143.4751,0.2281
NM,6312,3256903,10220382,366544882.2841,473440328.7426,1430403207.2713,35.8641,139.9559,0.2563
NV,8793,6454136,27121391,950649657.9541,1204969525.7168,3982410825.7195,35.0517,146.8365,0.2387
NY,80484,51846911,163319527,6347958091.4645,8054829183.6646,27327541949.9877,38.8683,167.3256,0.2323
OH,47844,27066406,68484319,2459565718.6257,3149955637.7055,9838232887.1218,35.9143,143.6567,0.25
OK,12842,10013813,32797090,1091804651.0594,1385914617.1749,4070244259.715,33.2897,124.1038,0.2682
OR,14089,6561373,20691175,761773392.6505,985051804.8802,3224058904.6898,36.8163,155.8181,0.2363
PA,58065,31661062,110690727,3755630338.432,4782477114.5883,13480901836.804,33.929,121.7889,0.2786
PR,3663,706688,2145163,55237456.1775,70005464.0899,124048623.3241,25.7498,57.8271,0.4453
RI,4876,2372307,6098948,235477173.817,302422247.0958,949711558.473,38.6095,155.7173,0.2479
SC,18943,14731311,50610783,1707999111.1926,2196774249.4773,6685144968.9165,33.7477,132.0893,0.2555
SD,4334,2315171,5989598,235676166.2093,304805092.6368,844799394.8886,39.3476,141.0444,0.279
TN,27495,19085324,64364804,2021155581.5234,2576925377.1391,8303738822.383,31.4016,129.0106,0.2434
TX,78270,61977305,217132609,7074719345.9896,8859429037.4407,30166113072.1226,32.5825,138.9294,0.2345
UT,9395,4291753,13312570,572221919.5409,718262651.7408,2015738872.5651,42.9836,151.4162,0.2839
VA,29945,22264506,73668084,2523699106.0075,3244653562.57,9398295166.1002,34.2577,127.5762,0.2685
VI,172,112607,332449,10677534.7855,14302150.1189,45917672.4225,32.1178,138.1194,0.2325
VT,2782,1130671,2681590,113276794.4667,147502220.1584,399717666.6097,42.2424,149.0599,0.2834
WA,25873,14457096,37972827,1523959182.8032,1954451135.8411,5612870401.6111,40.1329,147.8128,0.2715
WI,24405,11265904,25798851,1252697826.7516,1522911889.9501,6392247804.8294,48.5563,247.7726,0.196
WV,6983,3218127,8873952,347024460.6312,451163619.1283,1269388611.2327,39.106,143.0466,0.2734
WY,2159,1169140,4163750,133801594.7397,174785469.4316,609429509.7078,32.1349,146.3655,0.2196
XX,28,18521,112225,3087659.17,3933067.4,8723242.2499,27.5131,77.7299,0.354
ZZ,68,16391,23791,1467023.11,1917141.71,9381768.96,61.6629,394.3411,0.1564
